article_id,title,journal,pub_year,times_cited,doi,study_type_2,fieldstudy_country,affiliation,affiliation_country
39,Effect of Coral-Algal Interactions on Early Life History Processes in Pocillopora acuta in a Highly Disturbed Coral Reef System,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00385,Field-based,Singapore,"Univ New South Wales, Sch Biol Earth & Environm Sci, Ctr Marine Bioinnovat, Sydney, NSW",Australia
41,"Growth, site fidelity, and grouper interactions of the Red Sea lionfish Pterois miles (Scorpaenidae) in its native habitat",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3436-6,Field-based,Egypt,"Amer Univ Cairo, Dept Biol, New Cairo 11835, Amer Univ Cairo, John D Gerhart Field Stn, El Gouna, Nat Biodivers Ctr, NL-2300 RA Leiden","Egypt, Netherlands"
43,Interactive effects of herbivory and substrate orientation on algal community dynamics on a coral reef,MARINE BIOLOGY,2018,2,10.1007/s00227-018-3411-2,Field-based,United States,"Florida Int Univ, Dept Biol Sci, 11200 SW 8th St, Miami",United States
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,Australia,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Taiwan, Province Of China","Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,Thailand,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States
45,Molecular Response to Extreme Summer Temperatures Differs Between Two Genetically Differentiated Populations of a Coral Reef Fish,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00349,Field-based,Australia,"James Cook Univ, ARC Ctr Excelienoe Coral Reef Studies, Townsville, Qld",Australia
46,Revisiting GUD: An empirical test of the size-dependency of patch departure behaviour,PLOS ONE,2018,0,10.1371/journal.pone.0204448,Field-based,Italy,"Univ Salento, Dept Biol & Environm Sci & Technol, Lab Ecol, Lecce",Italy
47,Impact of the Use of a Teaching Toolbox in an Awareness Campaign on Children's Representations of Coral Reefs,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00340,Field-based,New Caledonia,"CNRS, UR, IRD, UMR ENTROPIE, St Clotilde, Labex Corail, Perpignan","Reunion, France"
49,"Impacts of a Regional, Multi-Year, Multi-Species Coral Disease Outbreak in Southeast Florida",FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00323,Field-based,United States,"Nova Southeastern Univ, Halmos Coll Nat Sci & Oceanog, Dania",United States
50,Rapid bioerosion in a tropical upwelling coral reef,PLOS ONE,2018,0,10.1371/journal.pone.0202887,Field-based,Costa Rica,"ZMT, Leibniz Ctr Trop Marine Res, Bremen",Germany
51,"Fish, Coral, and Sponge Assemblages Associated With Altiphotic and Mesophotic Reefs Along the Guanica Biosphere Reserve Continental Shelf Edge, Southwest Puerto Rico",FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00303,Field-based,United States,"Univ Puerto Rico, Dept Marine Sci, Mayaguez",United States
52,Local human activities limit marine protection efficacy on Caribbean coral reefs,CONSERVATION LETTERS,2018,1,10.1111/conl.12571,Field-based,Mexico,"Univ Nacl Autonoma Mexico, Posgrad Ciencias Mar Limnol, Mexico City, DF, Univ Nacl Autonoma Mexico, Unidad Acad Sistemas Arrecifales, Inst Ciencias Mar & Limnol, Biodivers & Reef Conservat Lab, Quintana Roo",Mexico
53,The effects of suspended sediment on coral reef fish assemblages and feeding guilds of north-west Australia,CORAL REEFS,2018,1,10.1007/s00338-018-1690-1,Field-based,Australia,"Univ Western Australia, UWA Oceans Inst, 35 Stirling Hwy, Crawley, WA 6009",Australia
54,In situ shifts of predominance between autotrophic and heterotrophic feeding in the reef-building coral Mussismilia hispida: an approach using fatty acid trophic markers,CORAL REEFS,2018,0,10.1007/s00338-018-1692-z,Field-based,Brazil,"Univ Sao Paulo, Oceanog Inst, Dept Biol Oceanog, Praca Oceanog 191 Cidade Univ, BR-05508120 Sao Paulo, SP",Brazil
55,Nitrogen fixation and diversity of benthic cyanobacterial mats on coral reefs in Curacao,CORAL REEFS,2018,0,10.1007/s00338-018-1713-y,Field-based,Curacao,"Leibniz Ctr Trop Marine Ecol ZMT, Fahrenheitstr 6, D-28359 Bremen, Max Planck Inst Marine Microbiol MPI Bremen, Celsiusstr 1, D-28359 Bremen, PSL Res Univ, EPHE, UPVD CNRS, CRIOBE USR3278, F-66860 Perpignan","Germany, France"
57,Sediment addition drives declines in algal turf yield to herbivorous coral reef fishes: implications for reefs and reef fisheries,CORAL REEFS,2018,1,10.1007/s00338-018-1718-6,Field-based,Australia,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Townsville, Qld 4811",Australia
59,Long-term variation in light intensity on a coral reef,CORAL REEFS,2018,2,10.1007/s00338-018-1721-y,Field-based,United States,"Calif State Univ Northridge, Dept Biol, 18111 Nordhoff St, Northridge",United States
64,Strong effects of coral species on the diversity and structure of reef fish communities: A multi-scale analysis,PLOS ONE,2018,0,10.1371/journal.pone.0202206,Field-based,Australia,"Inst Marine Res, Pelag Grp, Bergen, James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, James Cook Univ, Coll Marine & Environm Sci, Townsville, Qld, Univ Melbourne, Dept Zool, Melbourne, Vic","Norway, Australia"
65,Spongivory by Fishes on Southwestern Atlantic Coral Reefs: No Evidence of Top-Down Control on Sponge Assemblages,FRONTIERS IN MARINE SCIENCE,2018,1,10.3389/fmars.2018.00256,Field-based,Brazil,"Univ Fed Bahia, Inst Biol, Lab Ecol Bentonica, CIENAM,Programa Posgrad Ecol & Biomonitoramento, Salvador, BA",Brazil
66,Depth patterns in microhabitat versatility and selectivity in coral reef damselfishes,MARINE BIOLOGY,2018,2,10.1007/s00227-018-3396-x,Field-based,Papua New Guinea,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture Sci, Townsville, Qld 4811",Australia
67,Comparative phylogeography of widespread and endemic damselfishes in the Hawaiian Archipelago,MARINE BIOLOGY,2018,0,10.1007/s00227-018-3395-y,Field-based,United States,"Univ Calif Santa Cruz, Dept Ecol & Evolutionary Biol, Santa Cruz",United States
69,"Predicting vulnerability to management changes in data-limited, small-scale fisheries",MARINE POLICY,2018,0,10.1016/j.marpol.2018.04.013,Field-based,Colombia,"Fdn Talking Oceans, Carrera 16,127-81, Bogota 110121, Smithsonian Marine Stn Ft Pierce, Ft Pierce","Colombia, United States"
70,Bigeye tuna catch limits lead to differential impacts for Hawai'i longliners,MARINE POLICY,2018,0,10.1016/j.marpol.2018.04.032,Field-based,United States,"JIMAR, 1000 Pope Rd,Marine Sci Bldg 312, Honolulu, NOAA, Pacific Isl Fisheries Sci Ctr, Natl Marine Fisheries Serv, 1845 Wasp Blvd,Bldg 176, Honolulu",United States
76,Soft corals are significant DMSP producers in tropical and temperate reefs,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3367-2,Field-based,Australia,"Univ Technol Sydney, Climate Change Cluster, POB 123, Broadway, NSW 2007",Australia
77,Clipperton Atoll as a model to study small marine populations: Endemism and the genomic consequences of small population size,PLOS ONE,2018,0,10.1371/journal.pone.0198901,Field-based,United Kingdom,"Cabrillo Coll, Dept Biol, Aptos",United States
80,Resilience in carbonate production despite three coral bleaching events in 5 years on an inshore patch reef in the Florida Keys,MARINE BIOLOGY,2018,0,10.1007/s00227-018-3354-7,Field-based,United States,"NOAA, AOML, 4301 Rickenbacker Cswy, Miami",United States
81,An outbreak of sea cucumbers hinders coral recruitment,CORAL REEFS,2018,0,10.1007/s00338-017-1654-x,Field-based,China,"Chinese Acad Sci, South China Sea Inst Oceanol, Key Lab Trop Marine Bioresources & Ecol, Guangdong Prov Key Lab Appl Marine Biol, 164 Xingang West Rd, Guangzhou 510301, Guangdong",Peoples R China
82,Assessing the spatial distribution of coral bleaching using small unmanned aerial systems,CORAL REEFS,2018,1,10.1007/s00338-018-1662-5,Field-based,United States,"Univ Hawaii Manoa, Appl Res Lab, Honolulu",United States
83,The Pulley Ridge deep reef is not a stable refugia through time,CORAL REEFS,2018,1,10.1007/s00338-018-1664-3,Field-based,United States,"Natl Inst Undersea Sci & Technol, Oxford, Univ Mississippi, Dept Biomol Sci, Oxford",United States
84,Coral larvae change their settlement preference for crustose coralline algae dependent on availability of bare space,CORAL REEFS,2018,1,10.1007/s00338-018-1665-2,Field-based,United States,"CIEE Res Stn Bonaire, Kralendijk, Victoria Univ Wellington, Sch Biol Sci, POB 600, Wellington 6140","Bonaire, New Zealand"
85,"Early-phase dynamics in coral recovery following cyclone disturbance on the inshore Great Barrier Reef, Australia",CORAL REEFS,2018,1,10.1007/s00338-018-1668-z,Field-based,Australia,"Australian Inst Marine Sci, PMB 3 Townsville MC, Townsville, Qld 4810",Australia
86,"Meteorologic, oceanographic, and geomorphic controls on circulation and residence time in a coral reef-lined embayment: Faga'alu Bay, American Samoa",CORAL REEFS,2018,0,10.1007/s00338-018-1671-4,Field-based,American Samoa,"US Geol Survey, Pacific Coastal & Marine Sci Ctr, Santa Cruz",United States
87,"Influence of prior residents on settlement preferences in the anemonefish, Premnas biaculeatus",CORAL REEFS,2018,0,10.1007/s00338-018-1676-z,Field-based,Australia,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture, Townsville, Qld 4811, Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes","Australia, United States"
87,"Influence of prior residents on settlement preferences in the anemonefish, Premnas biaculeatus",CORAL REEFS,2018,0,10.1007/s00338-018-1676-z,Field-based,Papua New Guinea,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture, Townsville, Qld 4811, Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes","Australia, United States"
90,Snapping shrimp sound production patterns on Caribbean coral reefs: relationships with celestial cycles and environmental variables,CORAL REEFS,2018,1,10.1007/s00338-018-1684-z,Field-based,United States Virgin Islands,"Woods Hole Oceanog Inst, Woods Hole",United States
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,Indonesia,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,Mexico,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,Poland,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia
92,Wind Conditions on the Great Barrier Reef Influenced the Recruitment of Snapper (Lutjanus carponotatus),FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00193,Field-based,Australia,"Australian Res Council, Ctr Excellence Coral Reef Studies, Townsville, Qld, James Cook Univ, Coll Sci & Engn, Reef & Ocean Ecol Lab, Townsville, Qld",Australia
95,Ocean acidification alters early successional coral reef communities and their rates of community metabolism,PLOS ONE,2018,1,10.1371/journal.pone.0197130,Field-based,Papua New Guinea,"Australian Inst Marine Sci, Townsville, Qld",Australia
96,The Dynamics of Coral-Algal Interactions in Space and Time on the Southern Great Barrier Reef,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00181,Field-based,Australia,"Univ Queensland, ARC Ctr Excellence Coral Reef Studies, St Lucia, Qld, Univ Queensland, Global Change Inst, St Lucia, Qld, Univ Queensland, Sch Biol Sci, Coral Reef Ecosyst Lab, St Lucia, Qld",Australia
99,Coral Reef Carbonate Chemistry Variability at Different Functional Scales,FRONTIERS IN MARINE SCIENCE,2018,1,10.3389/fmars.2018.00175,Field-based,Bermuda,"Monterey Bay Aquarium Res Inst, Moss Landing",United States
101,Habitat degradation negatively affects auditory settlement behavior of coral reef fishes,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,2,10.1073/pnas.1719291115,Field-based,Australia,"Univ Exeter, Coll Life & Environm Sci, Biosci, Exeter EX4 4QD, Devon",United Kingdom
104,Corals in Healthy Populations Produce More Larvae Per Unit Cover,CONSERVATION LETTERS,2018,3,10.1111/conl.12410,Field-based,Curacao,"Univ Calif San Diego, Scripps Inst Oceanog, Ctr Marine Biodivers & Conservat, La Jolla",United States
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,Barbados,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados"
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,Belize,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados"
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,Honduras,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados"
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,Saint Kitts and Nevis,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados"
108,Bioaccumulation of trace metals in octocorals depends on age and tissue compartmentalization,PLOS ONE,2018,1,10.1371/journal.pone.0196222,Field-based,"Taiwan, Province Of China","Natl Taiwan Ocean Univ, Inst Marine Biol, Keelung",Taiwan
110,In situ observations of coral bleaching in the central Saudi Arabian Red Sea during the 2015/2016 global coral bleaching event,PLOS ONE,2018,3,10.1371/journal.pone.0195814,Field-based,Saudi Arabia,"King Abdullah Univ Sci & Technol, Div Biol & Environm Sci & Engn, Red Sea Res Ctr, Thuwal",Saudi Arabia
113,"Variation in social systems within Chaetodon butterflyfishes, with special reference to pair bonding",PLOS ONE,2018,1,10.1371/journal.pone.0194465,Field-based,Australia,"James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld, Stanford Univ, Dept Biol, Stanford","Australia, United States"
114,Anemone bleaching increases the metabolic demands of symbiont anemonefish,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.0282,Field-based,French Polynesia,"Univ Glasgow, Inst Biodivers Anim Hlth & Comparat Med, Graham Kerr Bldg, Glasgow G12 8QQ, Lanark",United Kingdom
